Sample_number,Avg_PMOA621
" 1a ( 0-10cm)A1,A",2.15E+07
"1b (0-10cm)A1,A",
"2a (50-60cm)A1,A",1.51E+07
"2b(50-60cm)A1,A",
"3a(140-150cm)A1,A",3.06E+07
"3b(140-150cm)A1,A",
"5a(0-10cm)A2,A",4.21E+07
"5b(0-10cm)A2,A",
"6a(50-60cm)A2,A",1.25E+06
"6b(50-60cm)A2,A",
"7a(0-10cm)A2,B",1.52E+06
"7b(0-10cm)A2,B",
"8a(50-60cm)A2,B",8.01E+05
"8b(50-60cm)A2,B",
"9a(0-10cm)A2,C",1.97E+06
"9b(0-10cm)A2,C",
"10a(50-60cm)A2,C",4.52E+06
"10b(50-60cm)A2,C",
"11a(0-10cm)A2,D",1.55E+07
"11b(0-10cm)A2,D",
"12a(50-60cm)A2,D",1.97E+06
"12b(50-60cm)A2,D",
"13a(0-10cm)A1,B",6.06E+07
"13b(0-10cm)A1,B",
"14a(50-60cm)A1,B",5.58E+06
"14b50-60cm)A1,B",
"15a(0-10cm)A1,B",2.63E+07
"15b(0-10cm)A1,B",
"16a(50-60cm)A1,C",2.77E+06
"16b(50-60cm)A1,C",
"17a(0-10cm)A1,D",2.08E+07
"17b(0-10cm)A1,D",
"18a(50-60cm)A1,D",2.71E+07
"18b(50-60cm)A1,D",
"19a(0-10cm)S,A",
"19b(0-10cm)S,A",
"20a(20-30cm)S,A",1.34E+05
"20b(20-30cm)S,A",
"21a(0-10cm)S,B",2.71E+06
"21b(0-10cm)S,B",
"22a(30-40cm)S,B",
"22b(30-40cm)S,B",
"23a(0-10cm)S,C",
"23b(0-10cm)S,C",
"24a(0-2cm)S,D",
"24b(0-2cm)S,D",
"25a(0-10cm)C,A",7.70E+06
"25b(0-10cm)C,A",
"26a(20-30cm)C,A",
"26b(20-30cm)C,A",
"27a(0-10cm)C,B",4.90E+08
"27b(0-10cm)C,B",
"28a(20-30cm)C,B",9.73E+06
"28b(20-30cm)C,B",
"29a(0-10cm)C,C",1.27E+07
"29b(0-10cm)C,C",
"30a(20-30cm)C,C",1.11E+07
"30b(20-30cm)C,C",
"31a(0-10cm)C,D",5.14E+07
"31b(0-10cm)C,D",
"32a(20-30cm)C,D",2.01E+07
"32b(20-30cm)C,D",
